Phi,Theta
-2.817856977418775,2.375195013111756
-2.2022017642183607,2.4895735841151048
-1.56932857402765,2.3857874450347074
-0.9371305986208722,2.4758020159178002
-0.3043980781768143,2.389515193321005
-2.8229070213236085,2.0248148081490918
-2.4268232156734677,2.0990321664830818
-1.5733095278579223,2.0326219790883195
-1.1717958699869855,2.108738379002121
-0.7078107776275631,2.105728046423753
-0.31518744774508,2.031988965228382
0.08930840875489565,2.1104404829366192
0.5568243117553022,2.105573309702434
0.9448899418462364,2.025686960578339
-1.9540181301989183,2.107233212712937
-3.0294805442831683,1.728930063039703
-2.6100596276633365,1.73057589907554
-2.1983614801347406,1.751662294098787
-1.7724838221435477,1.7342755134125076
-1.3594915129457465,1.7333892940085953
-0.9347954808264363,1.7483706220271127
-0.518947575771584,1.7386362755587428
-0.10277613029943122,1.733994173919202
0.3214697586305899,1.7537301393745823
0.7416221579330164,1.7381861323694536
1.160592931363559,1.7339519729952062
1.5806749957926591,1.757908030850169
1.9930624250798532,1.7358791485243488
2.412103533383723,1.7376234533828427
2.834647318379246,1.7549117652464654
1.342703985380206,2.1145199055895496
1.8056481216143982,2.1104826838606154
2.2002689618993507,2.039233457180999
2.599672573570497,2.1068112034729785
3.0713945019958198,2.111382970239193
0.31658851842173963,2.4865210506127395
0.9437364499236836,2.383705532784247
1.5840370027376593,2.4873088011939952
2.209792303747742,2.388080361905147
2.8322559326861496,2.4911772192269455
-2.8197560189985875,1.3784232553050522
-2.4029656266411616,1.3960069736366456
-1.9888620264448038,1.3968650590912273
-1.5608743222538197,1.37831071950773
-1.1443934033390302,1.3930388419822728
-0.725155357389847,1.393995396259511
-0.30956065787896936,1.3791125370636508
0.1073422702757778,1.3993689805816463
0.5313208866871584,1.3973714701791773
0.9445523344542694,1.3791828719369768
1.364212389643411,1.4007756780481737
1.7873610545495406,1.3986234309243868
2.2077244584719464,1.371797710237708
2.6239521718427605,1.4076966295834887
3.045398732814392,1.3966821884205787
-3.055574782287253,1.026791089597179
-2.583543380419294,1.021037696959082
-2.1914405285994256,1.1010225149058341
-1.7921916536495974,1.0229226715642288
-1.3325110555377493,1.0247373112960492
-0.9431371968029443,1.1099972447422795
-0.5459843010782421,1.0206719556177848
-0.07973442579771106,1.0201374105805041
0.32200430366787014,1.0972103647715448
0.7181021762926765,1.027128696989146
1.175925933748709,1.0264816161545431
1.5737118433333483,1.1007271084378634
1.9706537344380708,1.0226131981215925
2.438099302565151,1.0234994175255048
2.833775165949999,1.1043141869775084
-2.8227100836782952,0.6482347343799704
-2.1952948796577108,0.7451282756708622
-2.1908215817141534,0.35195611397995363
-1.56908943545834,0.6572375981657463
-0.9426167187403292,0.7473649246426408
-0.9462037972799742,0.35730156435275817
-0.3114315655094515,0.6433394271964548
0.31837502420422936,0.7483214789198795
0.31754507269897836,0.3561199384808751
0.9543710827706313,0.6522297551849086
1.57480906735724,0.7524571694714701
1.5713767255389124,0.36069170524708927
2.206303694030754,0.6465888983441332
2.8304131590049986,0.7485606174891892
2.831327512358241,0.3553321878996196
